standard_name,raw_names,logo_url,group_name,tvg_id,tvg_chno,tvg_shift,catchup,catchup_days,catchup_source,resolution
CCTV-1 综合,239.21.1.120:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV1.png,📺 央视频道,CCTV1,001,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
CCTV-1 综合,239.21.1.1:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV1.png,📺 央视频道,CCTV1,002,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8?startTime=${(b)10}&endTime=${(e)10},720x576
CCTV-2 财经,239.21.1.151:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV2.png,📺 央视频道,CCTV2,003,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
CCTV-3 综艺,239.21.2.45:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV3.png,📺 央视频道,CCTV3,004,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
CCTV-4 中文,239.21.1.154:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV4.png,📺 央视频道,CCTV4,005,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
CCTV-5 体育,239.21.2.46:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV5.png,📺 央视频道,CCTV5,006,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
CCTV-5+ 体育赛事,239.21.1.142:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV5+.png,📺 央视频道,CCTV5+,007,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
CCTV-6 电影,239.21.2.47:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV6.png,📺 央视频道,CCTV6,008,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
CCTV-7 国防军事,239.21.1.152:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV7.png,📺 央视频道,CCTV7,009,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
CCTV-8 电视剧,239.21.2.48:5002,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/img/CCTV8.png,📺 央视频道,CCTV8,010,0,default,7,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8?startTime=${(b)10}&endTime=${(e)10},1920x1080
